,orf,hits_count,read_count,hits_count_pro,reads_count_pro,orf_len,NI_index,HFI_normalized,label
232,YBL009W,44,547,8,333,2030,18,0.1497536945812808,
233,YBL008W-A,9,107,1,11,239,18,0.37656903765690375,
234,YBL008W,51,646,1,19,2522,20,0.2965900079302141,
235,YBL007C,26,270,7,200,3734,20,0.23808248527048745,
236,YBL006C,15,606,6,55,542,23,0.2177121771217712,
237,YBL006W-A,10,589,1,2,149,20,0.5302013422818792,
238,YBL005W,46,426,4,47,2930,37,0.1273037542662116,
239,YBL004W,14,94,1,2,7481,3,0.4923138617831841,
240,YBL003C,9,340,2,13,398,1,0.3969849246231156,
241,YBL002W,37,561,8,206,395,33,0.1518987341772152,
242,YBL001C,43,3327,6,31,314,35,0.18152866242038213,
243,YBR001C,172,3858,12,1380,2342,19,0.07344150298889837,
244,YBR002C,10,234,0,0,860,80,0.4930232558139535,
245,YBR003W,31,391,2,6,1421,0,0.11048557353976073,
246,YBR004C,7,29,0,0,1301,85,0.6272098385857033,ess
247,YBR005W,16,767,3,78,641,40,0.1856474258970359,
248,YBR006W,98,2153,2,2,1493,21,0.06296048225050234,
249,YBR007C,63,1360,8,53,2210,1,0.08868778280542987,
250,YBR008C,58,743,5,213,1646,1,0.09720534629404616,
251,YBR009C,2,2,5,57,311,1,0.8520900321543409,
252,YBR010W,7,89,6,22,410,52,0.4487804878048781,
253,YBR011C,6,16,1,2,863,26,0.4322132097334878,ess
254,YBR012C,3,145,0,0,419,1,0.7422434367541766,
255,YBR013C,11,71,2,11,389,14,0.2185089974293059,
256,YBR014C,6,27,1,21,611,67,0.2536824877250409,
257,YBR015C,17,96,1,15,1793,17,0.23870607919687675,
258,YBR016W,19,881,0,0,386,4,0.2616580310880829,
259,YBR017C,15,138,1,7,2756,9,0.6302612481857764,
260,YBR018C,10,39,0,0,1100,4,0.6090909090909091,
261,YBR019C,28,355,0,0,2099,30,0.24964268699380654,
262,YBR020W,24,130,3,4,1586,13,0.2730138713745271,
263,YBR021W,41,11159,0,0,1901,35,0.08784850078905837,
264,YBR022W,24,277,0,0,533,0,0.19887429643527205,
265,YBR023C,44,1213,1,6,3497,3,0.19245067200457536,
266,YBR024W,14,144,3,17,905,5,0.3160220994475138,
267,YBR025C,12,79,2,9,1184,2,0.4603040540540541,
268,YBR026C,15,87,5,34,1142,10,0.21978984238178634,
269,YBR027C,23,190,0,0,332,10,0.2259036144578313,
270,YBR028C,25,245,3,68,1577,1,0.202282815472416,
271,YBR029C,12,72,1,3,1373,68,0.3641660597232338,ess
272,YBR030W,22,165,2,71,1658,131,0.22316043425814236,
273,YBR031W,2,17,2,5,1088,49,0.8575367647058824,
274,YBR032W,62,5183,5,73,302,12,0.16225165562913907,
275,YBR033W,64,928,10,161,2759,12,0.3062703878216745,
276,YBR034C,50,712,8,284,1046,17,0.08508604206500955,
277,YBR035C,24,128,3,21,686,10,0.18950437317784255,
278,YBR036C,25,479,6,288,1232,0,0.2897727272727273,
279,YBR037C,15,42,10,85,887,4,0.20856820744081173,
280,YBR038W,16,79,0,0,2891,32,0.2604635074368731,
281,YBR039W,11,49,0,0,935,14,0.2620320855614973,
282,YBR040W,8,49,2,16,896,58,0.34598214285714285,
283,YBR041W,18,419,0,0,2009,2,0.3484320557491289,
284,YBR042C,17,167,1,5,1193,10,0.2154233025984912,
285,YBR043C,31,265,0,0,2069,0,0.2247462542290962,
286,YBR044C,30,659,0,0,1718,12,0.2421420256111758,
287,YBR045C,21,148,0,0,1919,32,0.15372589890568006,
288,YBR046C,21,229,10,162,1004,44,0.19123505976095614,
289,YBR047W,20,330,15,290,527,187,0.15180265654648956,
290,YBR048W,4,24,0,0,981,239,0.4668705402650357,
291,YBR049C,21,94,2,47,2432,35,0.27713815789473684,
292,YBR050C,25,222,5,259,1016,21,0.14271653543307086,
293,YBR051W,17,369,0,0,350,21,0.24285714285714285,
294,YBR052C,17,167,3,12,632,21,0.2088607594936709,
295,YBR053C,35,530,15,27550,1076,31,0.1496282527881041,
296,YBR054W,45,1129,0,0,1034,27,0.10638297872340426,
297,YBR055C,20,158,0,0,2699,10,0.5387180437198963,ess
298,YBR056W,25,290,3,46,1505,10,0.1681063122923588,
299,YBR056W-A,4,112,1,1,200,14,0.67,
300,YBR056C-B,2,68,9,234,158,14,0.8227848101265823,
301,YBR057C,13,149,3,8,1100,29,0.2709090909090909,
302,YBR058C,25,141,2,23,2345,4,0.15479744136460555,
303,YBR058C-A,0,0,1,6,242,4,1.0,
304,YBR059C,39,409,0,0,3326,28,0.12868310282621767,
305,YBR060C,7,26,2,9,1862,125,0.4645542427497314,ess
306,YBR061C,13,58,1,12,932,0,0.2993562231759657,
307,YBR062C,11,123,8,114,624,125,0.2435897435897436,
