orf,label_FY,predictions_CCD,predictions_CPG,predictions_CNT,predictions_Sigma,predictions_CHM
YMR229C,ess,ess,ess,,ess,ess
YMR235C,ess,ess,ess,ess,ess,ess
YMR268C,ess,ess,ess,ess,ess,ess
YMR270C,ess,ess,,ess,ess,ess
YMR277W,ess,ess,ess,ess,ess,ess
YMR281W,ess,ess,ess,ess,ess,ess
YMR288W,ess,ess,ess,ess,ess,ess
YMR290C,ess,ess,,ess,ess,ess
YMR296C,ess,ess,ess,ess,ess,ess
YMR308C,ess,,ess,ess,ess,ess
YMR314W,ess,,ess,ess,ess,
YNL317W,ess,,ess,,,ess
YNL313C,ess,ess,ess,ess,,ess
YNL308C,ess,,ess,ess,ess,ess
YNL290W,ess,,ess,,,ess
YNL287W,ess,ess,ess,ess,ess,ess
YNL272C,ess,ess,ess,ess,ess,ess
YNL267W,ess,ess,ess,ess,,ess
YNL262W,ess,,ess,,,
YNL261W,ess,ess,ess,ess,ess,ess
YNL258C,ess,ess,ess,ess,ess,ess
YNL247W,ess,ess,ess,ess,ess,ess
YNL221C,ess,,ess,,,
YNL216W,ess,,ess,,,
YNL207W,ess,ess,ess,ess,ess,ess
YNL189W,ess,ess,ess,ess,ess,ess
YNL188W,ess,ess,ess,,ess,ess
YNL182C,ess,ess,ess,ess,ess,ess
YNL181W,ess,,ess,ess,ess,
YNL178W,ess,ess,ess,ess,ess,ess
YNL172W,ess,,ess,ess,ess,ess
YNL163C,ess,ess,ess,ess,,
YNL161W,ess,ess,,ess,ess,
YNL152W,ess,ess,ess,ess,ess,ess
YNL132W,ess,ess,ess,ess,ess,ess
YNL126W,ess,ess,ess,ess,ess,ess
YNL118C,ess,ess,ess,ess,ess,ess
YNL112W,ess,,ess,,,
YNL110C,ess,ess,ess,,ess,
YNL103W,ess,,ess,ess,ess,ess
YNL102W,ess,,ess,ess,ess,ess
YNL088W,ess,,ess,,ess,ess
YNL075W,ess,ess,ess,ess,,ess
YNL062C,ess,ess,ess,ess,ess,ess
YNL039W,ess,ess,ess,,,
YNL026W,ess,,ess,ess,,ess
YNL007C,ess,ess,ess,ess,ess,ess
YNL006W,ess,,,,,
YNR003C,ess,,,,,
YNR035C,ess,ess,ess,ess,ess,ess
YNR038W,ess,,ess,ess,ess,ess
YNR043W,ess,ess,ess,ess,ess,ess
YNR053C,ess,ess,ess,ess,,
YOL149W,ess,,ess,ess,ess,ess
YOL146W,ess,,,ess,ess,
YOL144W,ess,ess,ess,ess,ess,ess
YOL139C,ess,ess,,,,
YOL135C,ess,,ess,,,
YOL130W,ess,ess,ess,ess,ess,
YOL127W,ess,,ess,ess,ess,ess
YOL123W,ess,ess,ess,ess,ess,ess
YOL102C,ess,,,ess,,ess
YOL097C,ess,,,,,
YOL094C,ess,,ess,,ess,
YOL069W,ess,,ess,,ess,
YOL066C,ess,ess,ess,ess,ess,ess
YOL038W,ess,ess,ess,,ess,ess
YOL022C,ess,ess,ess,ess,,ess
YOL010W,ess,,ess,ess,ess,ess
YOR046C,ess,,ess,,,
YOR048C,ess,ess,ess,ess,ess,ess
YOR056C,ess,,,,,
YOR057W,ess,ess,ess,,ess,
YOR060C,ess,,,,,
YOR063W,ess,ess,ess,ess,ess,ess
YOR074C,ess,,ess,,,
YOR075W,ess,,,,,
YOR098C,ess,ess,ess,ess,ess,ess
YOR110W,ess,ess,ess,ess,ess,ess
YOR116C,ess,,ess,,ess,ess
YOR117W,ess,ess,ess,ess,,ess
YOR119C,ess,,ess,,,ess
YOR122C,ess,,,ess,,
YOR143C,ess,,,ess,,
YOR149C,ess,ess,ess,ess,ess,ess
YOR151C,ess,ess,ess,ess,ess,ess
YOR160W,ess,ess,ess,ess,ess,ess
YOR168W,ess,,ess,,,
YOR174W,ess,,ess,,ess,
YOR176W,ess,,ess,ess,,ess
YOR181W,ess,,ess,ess,ess,ess
YOR194C,ess,,ess,ess,,ess
YOR207C,ess,,ess,,ess,ess
YOR217W,ess,,ess,,,
YOR232W,ess,,ess,ess,,ess
YOR244W,ess,ess,ess,ess,ess,
YOR250C,ess,,ess,,,
YOR259C,ess,,ess,,,
YOR261C,ess,ess,ess,ess,ess,ess
YOR262W,ess,,ess,,,ess
YOR272W,ess,ess,ess,ess,ess,ess
YOR281C,ess,,,,,
YOR294W,ess,,ess,ess,ess,ess
YOR310C,ess,,ess,ess,ess,ess
YOR319W,ess,ess,,,,
YOR326W,ess,,ess,ess,,ess
YOR329C,ess,ess,ess,,,
YOR335C,ess,,ess,,ess,ess
YOR372C,ess,,ess,,ess,
YOR373W,ess,ess,ess,ess,ess,ess
YPL266W,ess,ess,ess,ess,ess,
YPL243W,ess,ess,ess,ess,ess,ess
YPL242C,ess,,ess,ess,,
YPL237W,ess,ess,ess,ess,ess,ess
YPL235W,ess,ess,ess,,ess,
YPL233W,ess,,,,,ess
YPL228W,ess,ess,ess,ess,ess,ess
YPL218W,ess,,ess,,ess,ess
YPL210C,ess,,,ess,ess,ess
YPL190C,ess,ess,ess,ess,ess,ess
YPL175W,ess,,ess,,,
YPL169C,ess,ess,ess,ess,ess,ess
YPL160W,ess,ess,ess,ess,ess,ess
YPL146C,ess,,ess,ess,,
YPL143W,ess,,,ess,,
YPL131W,ess,ess,ess,ess,ess,ess
YPL128C,ess,,ess,ess,ess,ess
YPL126W,ess,ess,ess,ess,,
YPL085W,ess,ess,ess,ess,ess,ess
YPL083C,ess,,ess,ess,ess,ess
YPL082C,ess,,ess,ess,,
YPL075W,ess,,ess,ess,ess,ess
YPL043W,ess,,ess,ess,,ess
YPL028W,ess,ess,ess,ess,ess,ess
YPL012W,ess,ess,ess,,,ess
YPL010W,ess,,ess,,ess,
YPL007C,ess,ess,ess,ess,ess,
YPR010C,ess,ess,ess,ess,ess,ess
YPR016C,ess,ess,ess,ess,ess,ess
YPR025C,ess,,ess,ess,ess,
YPR033C,ess,,ess,,ess,ess
YPR034W,ess,,ess,ess,,ess
YPR035W,ess,ess,ess,,,
YPR041W,ess,ess,ess,,ess,
YPR056W,ess,,ess,,,
YPR085C,ess,ess,ess,ess,ess,ess
YPR088C,ess,ess,ess,ess,ess,
YPR104C,ess,ess,ess,ess,ess,ess
YPR105C,ess,,ess,ess,ess,ess
YPR110C,ess,ess,ess,ess,ess,ess
YPR112C,ess,ess,ess,ess,,ess
YPR113W,ess,,,,ess,
YPR133C,ess,ess,ess,ess,ess,ess
YPR137W,ess,,ess,ess,ess,
YPR143W,ess,,ess,ess,ess,ess
YPR144C,ess,ess,,ess,ess,ess
YPR162C,ess,ess,ess,ess,,ess
YPR165W,ess,ess,,,,
YPR175W,ess,ess,,ess,ess,ess
YPR176C,ess,,ess,ess,ess,ess
YPR180W,ess,ess,,ess,,
YPR183W,ess,,,,,
YPR186C,ess,,ess,ess,,ess
YPR187W,ess,,,,,ess
