hits_count,reads_count,hits_count_pro,ratio_hits_prom,insertion_index,NI,NI_ratio,HFI,HFI_ratio,orf,label
0.12,0.04,0,1.0,0.0059880239520958105,0.2875115154306771,0.5750230308613542,0.7305389221556886,1.3688524590163935,YAR020C,non_ess
0.12,0.04,8,4.0,0.025,1.1,2.0,0.18181818181818185,1.9387755102040816,YAR023C,non_ess
0.12,0.04,0,0.0,0.005657708628005658,0.28854314002828857,0.3476635514018692,1.0,1.0,YAR027W,non_ess
0.12,0.04,2,0.3333333333333333,0.004261363636363636,0.21732954545454544,0.205853418593212,0.4261363636363637,0.4033333333333333,YAR028W,non_ess
0.0,0.0,2,1.0,0.0,0.0,1.0,1.0,1.0,YAR029W,non_ess
0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.5689149560117303,YAR030C,non_ess
0.12,0.04,0,0.0,0.002232142857142857,0.12670012953367876,0.2600094206311823,1.0,0.4174107142857143,YAR031W,non_ess
0.12,0.04,0,0.0,0.0014204545454545455,0.07393127705627706,0.4492063492063492,1.0,1.0,YAR033W,non_ess
0.12,0.04,10,0.7692307692307693,0.025,1.1,1.7173683097101755,0.054774600096946194,5.0,YAR035W,non_ess
0.12,0.04,14,1.2727272727272727,0.025,1.1,2.0,1.0,0.525,YAR035C-A,non_ess
0.12,0.04,7,2.333333333333333,0.01738642736960179,1.1,1.582068965517241,0.09226023555804824,1.155015197568389,YAR042W,non_ess
0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,YAR047C,non_ess
0.12,0.04,0,1.0,0.003685237372642532,0.9668992958189688,0.9139784946236559,0.6256232386733146,0.7442827442827442,YAR050W,non_ess
0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,YAR053W,non_ess
0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,YAR060C,non_ess
0.12,0.04,0,1.0,0.025,1.1,2.0,0.3110367892976589,2.548387096774193,YAR064W,non_ess
0.12,0.04,0,1.0,0.0016366612111292965,1.0317661062341914,2.0,0.6121112929623568,1.6336898395721926,YAR066W,non_ess
0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.5814432989690722,YAR068W,non_ess
0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,YAR069C,non_ess
0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,YAR070C,non_ess
0.12,0.04,0,1.0,0.0007127583749109052,0.3064213049957883,1.1363636363636365,1.0,1.0,YAR071W,non_ess
0.12,0.04,0,1.0,0.0008257638315441782,0.2819232790331056,0.16233766233766234,1.0,0.3253509496284063,YAR073W,non_ess
0.12,0.04,0,0.0,0.0021141649048625802,0.6158946761483759,1.1363636363636365,1.0,1.0,YAR075W,non_ess
0.12,0.04,0,1.0,0.0008410428931875525,0.04508763280260627,1.6321839080459772,0.748107653490328,0.863406408094435,YBL113C,non_ess
0.12,0.04,0,1.0,0.004149377593360996,0.2224447942004102,1.6321839080459772,1.0,1.0,YBL113W-A,non_ess
0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,YBL112C,non_ess
0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,YBL111C,non_ess
0.12,0.04,0,1.0,0.025,1.1,0.9559955995599559,0.4298507462686567,0.875,YBL109W,non_ess
0.12,0.04,0,1.0,0.0078125,0.3916305693069307,0.7832611386138614,0.7109375,1.4065934065934067,YBL108C-A,non_ess
0.12,0.04,4,4.0,0.025,1.1,2.0,0.2557377049180328,1.58974358974359,YBL108W,non_ess
0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,YBL107W-A,non_ess
0.12,0.04,11,1.2222222222222223,0.025,1.1,0.5890356142456983,0.3322033898305085,0.6377551020408163,YBL107C,non_ess
