hits_count,reads_count,hits_count_pro,ratio_hits_prom,insertion_index,NI,NI_ratio,HFI,HFI_ratio,orf,label
0.12,0.04,4,0.6666666666666666,0.013368983957219251,0.4742245989304813,1.56,0.3155080213903743,1.5762711864406782,YBL053W,non_ess
0.12,0.04,2,1.0,0.008416833667334669,0.29856192384769537,1.2285,0.22044088176352705,1.541818181818182,YBL052C,non_ess
0.12,0.04,0,1.0,0.002991026919242273,0.09362109749183822,0.39495798319327735,0.42971086739780656,0.4118329466357309,YBL051C,non_ess
0.12,0.04,0,1.0,0.004024144869215292,0.13852126845580526,0.4112676056338028,0.6720321931589537,0.4865269461077844,YBL050W,ess
0.12,0.04,2,2.0,0.014423076923076926,0.4620192307692308,1.2639999999999998,0.2740384615384616,1.7631578947368418,YBL049W,non_ess
0.12,0.04,0,1.0,0.00964630225080386,0.3180442595044449,1.0661764705882355,0.9292604501607716,0.3737024221453287,YBL048W,non_ess
0.12,0.04,2,0.6666666666666666,0.008443908323281063,0.22050031342017795,0.6645149041199924,0.1835946924004825,5.0,YBL047C,non_ess
0.12,0.04,7,1.4,0.019622641509433963,0.5171294389058252,1.0542732376793509,0.3366037735849057,0.7085201793721974,YBL046W,non_ess
0.12,0.04,0,0.0,0.0007283321194464676,0.018586535546045908,0.05947271612507665,0.6453022578295703,0.3656884875846501,YBL045C,non_ess
0.12,0.04,4,0.8,0.025,1.1,1.5555555555555558,1.0,1.0,YBL044W,non_ess
0.12,0.04,4,2.0,0.01034928848641656,0.2629990240802524,0.8245614035087719,0.2716688227684347,1.457142857142857,YBL043W,non_ess
0.12,0.04,4,1.3333333333333333,0.020323084940072955,0.5070275745143084,1.0184859154929575,0.09744658676393957,1.6898395721925132,YBL042C,non_ess
0.12,0.04,0,0.0,0.0027586206896551718,0.06498586772187677,0.17668488160291446,0.5296551724137931,0.640625,YBL041W,ess
