orf,label_FY,predictions_ABP,predictions_ACF,predictions_ACN,predictions_ACP,predictions_ADD,predictions_AND,predictions_APH,predictions_AVI,predictions_BBQ,predictions_BHH,predictions_BMK,predictions_CCD,predictions_CGQ,predictions_CHM,predictions_CIB,predictions_CLG,predictions_CNM,predictions_CNT,predictions_CPG,predictions_Sigma
YDL126C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDL120W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDL111C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDL108W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDL105W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDL103C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDL102W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDL097C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDL087C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDL084W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDL060W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDL058W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDL055C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDL045C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDL043C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDL031W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDL030W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDL029W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDL028C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDL017W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDL015C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDL014W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDL008W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDL004W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDL003W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR002W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR013W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR016C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR021W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR023W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR041W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR044W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR045C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR047W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR050C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR052C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR054C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR060W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR062W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR081C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR082W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR086C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR088C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR091C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR113C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
